epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,40.946,1.04807,0.88374,0.99747,0.4186,0.066742,3.32913e-05,3.32913e-05
2,78.2769,0.62479,0.91744,0.99874,0.26812,0.0334398,6.4426e-05,6.4426e-05
3,114.015,0.51422,0.9385,0.99874,0.20035,0.000135395,9.33607e-05,9.33607e-05
4,149.634,0.45386,0.94819,0.99832,0.16915,9.01e-05,9.01e-05,9.01e-05
5,185.235,0.41885,0.95198,0.99789,0.14961,8.68e-05,8.68e-05,8.68e-05
6,220.831,0.39192,0.95282,0.99874,0.14214,8.35e-05,8.35e-05,8.35e-05
7,256.483,0.38803,0.96209,0.99916,0.12736,8.02e-05,8.02e-05,8.02e-05
8,292.207,0.35965,0.96335,0.99958,0.12224,7.69e-05,7.69e-05,7.69e-05
9,327.807,0.35442,0.96167,0.99958,0.11632,7.36e-05,7.36e-05,7.36e-05
10,363.424,0.33589,0.96757,0.99916,0.10099,7.03e-05,7.03e-05,7.03e-05
11,398.627,0.31674,0.96883,0.99958,0.0999,6.7e-05,6.7e-05,6.7e-05
12,433.794,0.32694,0.9642,0.99916,0.10265,6.37e-05,6.37e-05,6.37e-05
13,469.457,0.293,0.96757,1,0.08933,6.04e-05,6.04e-05,6.04e-05
14,505.091,0.28937,0.97178,1,0.08378,5.71e-05,5.71e-05,5.71e-05
15,540.695,0.27793,0.97346,1,0.0785,5.38e-05,5.38e-05,5.38e-05
16,576.004,0.2773,0.96841,1,0.08495,5.05e-05,5.05e-05,5.05e-05
17,611.647,0.26596,0.9722,1,0.07917,4.72e-05,4.72e-05,4.72e-05
18,647.552,0.26617,0.97599,1,0.07543,4.39e-05,4.39e-05,4.39e-05
19,683.372,0.26303,0.97304,1,0.07661,4.06e-05,4.06e-05,4.06e-05
20,719.094,0.24551,0.97346,1,0.07506,3.73e-05,3.73e-05,3.73e-05
21,754.863,0.24761,0.97473,1,0.07476,3.4e-05,3.4e-05,3.4e-05
22,790.603,0.24837,0.97388,1,0.07378,3.07e-05,3.07e-05,3.07e-05
23,826.398,0.24893,0.97683,1,0.06491,2.74e-05,2.74e-05,2.74e-05
24,862.168,0.2293,0.97725,1,0.06641,2.41e-05,2.41e-05,2.41e-05
25,897.906,0.23903,0.9781,1,0.06294,2.08e-05,2.08e-05,2.08e-05
26,933.666,0.23818,0.98189,1,0.05806,1.75e-05,1.75e-05,1.75e-05
27,969.432,0.2357,0.98189,1,0.06024,1.42e-05,1.42e-05,1.42e-05
28,1005.3,0.22055,0.97852,1,0.05831,1.09e-05,1.09e-05,1.09e-05
29,1041.1,0.21824,0.97936,1,0.05951,7.6e-06,7.6e-06,7.6e-06
30,1076.83,0.22867,0.9802,1,0.059,4.3e-06,4.3e-06,4.3e-06
